mission_id,launch_date,year,decade,country,rocket_name,rocket_operator,rocket_height_m,rocket_payload_leo_kg,rocket_reusable,rocket_status,launch_site,launch_site_country,launch_site_lat,launch_site_lon,mission_type,orbit_type,destination,payload_mass_kg,num_payloads,launch_mass_tonnes,apoapsis_km,periapsis_km,inclination_deg,outcome,mission_duration_days,crew_size,booster_recovered,estimated_cost_million_usd
M000755,1973-12-20,1973,1970s,United States,Falcon Heavy,SpaceX,70,63800,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Military/Reconnaissance,LEO,LEO,1891,1,101.0,524.0,267.0,43.2,Launch Failure,,0,0,120.1
M000756,1973-01-19,1973,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Communications/Telecom,GEO,GEO,2234,1,86.4,35786.0,35652.0,0.0,Success,,0,0,139.3
M000757,1973-12-12,1973,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Weather/Meteorology,SSO,SSO,500,1,14.6,572.0,542.0,97.1,Success,,0,0,80.8
M000758,1973-05-19,1973,1970s,United States,Space Shuttle,NASA,56,27500,1,Retired,SpaceX Starbase,USA,25.99,-97.16,Technology Demo,LEO,LEO,4300,1,187.7,592.0,556.0,93.1,Launch Failure,,0,0,84.9
M000759,1973-08-29,1973,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,500,1,27.7,450.0,442.0,97.5,Success,,0,0,87.7
M000760,1973-01-18,1973,1970s,United States,Falcon 9,SpaceX,70,22800,1,Active,Rocket Lab LC-2,USA,37.85,-75.49,Science/Astronomy,LEO,HEO,2758,1,77.4,648.0,450.0,94.5,Success,,0,0,62.2
M000761,1973-01-28,1973,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,LEO,LEO,2902,1,164.1,404.0,355.0,73.2,Success,,0,0,68.9
M000762,1973-07-18,1973,1970s,United States,Titan II,USAF,31,3175,0,Retired,Rocket Lab LC-2,USA,37.85,-75.49,Human Spaceflight,Lunar Transfer,Lunar Orbit,3175,1,175.4,,,51.4,Success,3.0,2,0,89.7
M000763,1973-09-22,1973,1970s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Earth Observation,LEO,Earth Orbit,1453,1,39.2,443.0,242.0,54.8,Success,,0,0,174.2
M000764,1973-10-18,1973,1970s,United States,Titan IV,USAF,62,21680,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Military/Reconnaissance,LEO,LEO,1048,2,54.1,520.0,290.0,65.6,Success,,0,0,135.2
M000765,1973-04-17,1973,1970s,United States,Vulcan Centaur,ULA,61,27200,0,Active,SpaceX Starbase,USA,25.99,-97.16,Communications/Telecom,GEO,GEO,2620,1,70.6,35786.0,35652.0,0.0,Success,,0,0,163.4
M000766,1973-03-02,1973,1970s,United States,Neutron,Rocket Lab,40,13000,1,Active,SpaceX Starbase,USA,25.99,-97.16,Weather/Meteorology,GEO,GEO,1730,1,69.4,35786.0,35661.0,0.0,Success,,0,0,83.1
M000767,1973-07-26,1973,1970s,United States,Electron,Rocket Lab,18,300,1,Active,Vandenberg SLC-4,USA,34.74,-120.57,Military/Reconnaissance,LEO,LEO,300,1,15.8,583.0,286.0,30.6,Success,,0,0,8.8
M000768,1973-12-17,1973,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,SSO,SSO,500,1,15.4,679.0,666.0,98.2,Success,,0,0,188.2
M000769,1973-07-11,1973,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,GEO,GEO,2727,2,156.1,35786.0,35757.0,0.0,Success,,0,0,72.9
M000770,1973-11-29,1973,1970s,United States,Falcon Heavy,SpaceX,70,63800,1,Active,Cape Canaveral LC-40,USA,28.56,-80.58,Earth Observation,LEO,Earth Orbit,1567,1,75.8,494.0,304.0,87.3,Success,,0,0,134.9
M000771,1973-07-23,1973,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Communications/Telecom,GEO,GEO,1764,1,48.3,35786.0,35655.0,0.0,Success,,0,0,108.4
M000772,1973-02-27,1973,1970s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Weather/Meteorology,SSO,SSO,995,1,26.9,536.0,530.0,98.8,Success,,0,0,87.1
M000773,1973-10-06,1973,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Human Spaceflight,Lunar Transfer,Moon Surface,500,1,14.0,,,1.5,Success,180.0,4,0,189.2
M000774,1973-01-11,1973,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Communications/Telecom,GEO,GEO,500,1,25.8,35786.0,35788.0,0.0,Success,,0,0,163.3
M000775,1973-08-08,1973,1970s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Navigation/GPS,LEO,MEO,8851,1,288.6,615.0,245.0,60.5,Success,,0,0,180.4
M000776,1973-09-14,1973,1970s,United States,Falcon 9,SpaceX,70,22800,1,Active,Rocket Lab LC-2,USA,37.85,-75.49,Human Spaceflight,LEO,LEO,9908,1,339.8,496.0,304.0,30.8,Success,365.0,3,0,66.5
M000777,1973-04-17,1973,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Communications/Telecom,GEO,GEO,500,1,24.6,35786.0,35786.0,0.0,Success,,0,0,153.2
M000778,1974-04-03,1974,1970s,United States,Falcon 9,SpaceX,70,22800,1,Active,Vandenberg SLC-4,USA,34.74,-120.57,Military/Reconnaissance,GEO,GEO,265,1,7.3,35786.0,35747.0,0.0,Success,,0,0,62.9
M000779,1974-06-20,1974,1970s,United States,Starship,SpaceX,120,150000,1,Active,SpaceX Starbase,USA,25.99,-97.16,Weather/Meteorology,LEO,LEO,2781,1,104.2,409.0,248.0,40.4,Success,,0,0,77.2
M000780,1974-07-16,1974,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,LEO,LEO,4730,1,208.2,369.0,239.0,78.8,Success,90.0,1,0,167.6
M000781,1974-12-21,1974,1970s,United States,Space Shuttle,NASA,56,27500,1,Retired,Vandenberg SLC-4,USA,34.74,-120.57,Military/Reconnaissance,SSO,SSO,1166,1,39.4,773.0,765.0,98.4,Launch Failure,,0,0,156.5
M000782,1974-05-18,1974,1970s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Earth Observation,LEO,Earth Orbit,3216,1,169.4,437.0,240.0,91.9,Success,,0,0,95.7
M000783,1974-06-16,1974,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,500,1,16.6,646.0,623.0,48.2,Mission Failure,,0,0,127.1
M000784,1974-01-13,1974,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,HEO,500,1,16.1,371.0,340.0,84.6,Success,,0,0,97.6
M000785,1974-01-07,1974,1970s,United States,Falcon 9,SpaceX,70,22800,1,Active,Rocket Lab LC-2,USA,37.85,-75.49,Science/Astronomy,LEO,LEO,5839,1,146.7,467.0,369.0,45.4,Success,,0,0,62.3
M000786,1974-10-20,1974,1970s,Europe,Ariane 6,Arianespace,63,21650,0,Active,Guiana Space Centre ELA-3,French Guiana,5.24,-52.77,Earth Observation,LEO,Earth Orbit,1475,1,85.1,439.0,383.0,93.4,Success,,0,0,175.9
M000787,1974-08-03,1974,1970s,United States,Atlas V,ULA,59,18850,0,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Science/Astronomy,LEO,LEO,1816,1,90.3,498.0,461.0,45.9,Success,,0,0,259.5
M000788,1974-05-13,1974,1970s,China,Zhuque-2,LandSpace,49,6000,0,Active,Taiyuan Satellite Launch Center,China,38.85,111.61,Military/Reconnaissance,SSO,SSO,1315,1,37.6,491.0,472.0,98.4,Success,,0,0,104.2
M000789,1974-09-26,1974,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,LEO,279,1,15.3,524.0,425.0,75.9,Success,,0,0,137.3
M000790,1974-05-20,1974,1970s,United States,Atlas V,ULA,59,18850,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Communications/Telecom,GEO,GEO,2694,1,102.3,35786.0,35650.0,0.0,Success,,0,0,221.7
M000791,1974-01-28,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,GEO,GEO,7080,1,285.1,35786.0,35728.0,0.0,Success,,0,0,97.9
M000792,1974-03-18,1974,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,LEO,2528,1,139.8,403.0,285.0,76.9,Success,,0,0,88.8
M000793,1974-11-15,1974,1970s,Europe,Ariane 6,Arianespace,63,21650,0,Active,Guiana Space Centre ELS,French Guiana,5.24,-52.77,Communications/Telecom,GEO,GEO,2382,1,71.6,35786.0,35731.0,0.0,Success,,0,0,58.6
M000794,1974-12-18,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,SSO,SSO,1746,1,84.6,746.0,734.0,98.0,Success,,0,0,180.0
M000795,1974-11-15,1974,1970s,United States,Starship,SpaceX,120,150000,1,Active,Rocket Lab LC-2,USA,37.85,-75.49,Military/Reconnaissance,SSO,SSO,9080,1,269.4,787.0,776.0,97.5,Success,,0,0,35.5
M000796,1974-08-25,1974,1970s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Weather/Meteorology,LEO,LEO,3107,2,180.3,645.0,476.0,67.6,Success,,0,0,97.5
M000797,1974-04-10,1974,1970s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Science/Astronomy,LEO,Earth Orbit,1182,1,48.4,355.0,313.0,50.4,Success,,0,0,213.6
M000798,1974-11-30,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,LEO,LEO,7080,1,221.6,559.0,451.0,45.0,Partial Failure,90.0,5,0,63.0
M000799,1974-03-19,1974,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,LEO,LEO,1018,3,36.5,613.0,344.0,91.8,Success,,0,0,65.7
M000800,1974-05-26,1974,1970s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Communications/Telecom,GEO,GEO,623,1,29.0,35786.0,35635.0,0.0,Success,,0,0,93.9
M000801,1974-08-17,1974,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Navigation/GPS,LEO,MEO,1264,1,66.2,357.0,356.0,31.1,Success,,0,0,110.0
M000802,1974-05-13,1974,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Earth Observation,LEO,Earth Orbit,3598,1,177.5,515.0,455.0,78.2,Success,,0,0,50.6
M000803,1974-09-10,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Earth Observation,LEO,Earth Orbit,1170,2,57.2,355.0,344.0,76.7,Mission Failure,,0,0,172.2
M000804,1974-11-11,1974,1970s,China,Long March 7,CASC,53,13500,0,Active,Jiuquan Satellite Launch Center,China,40.96,100.29,Science/Astronomy,LEO,L2 Halo,7215,1,343.5,598.0,595.0,37.1,Success,,0,0,157.0
M000805,1974-05-20,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,GEO,GEO,7080,1,352.7,35786.0,35717.0,0.0,Success,,0,0,103.0
M000806,1974-12-07,1974,1970s,United States,Atlas V,ULA,59,18850,0,Retired,Vandenberg SLC-4,USA,34.74,-120.57,Military/Reconnaissance,LEO,LEO,4478,1,249.6,556.0,308.0,46.4,Success,,0,0,298.8
M000807,1974-05-08,1974,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,4730,1,242.6,597.0,308.0,55.0,Success,,0,0,129.6
M000808,1974-12-28,1974,1970s,United States,Electron,Rocket Lab,18,300,1,Active,SpaceX Starbase,USA,25.99,-97.16,Navigation/GPS,LEO,MEO,300,1,17.1,509.0,234.0,69.8,Success,,0,0,7.7
M000809,1974-07-03,1974,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Earth Observation,LEO,Earth Orbit,500,1,13.8,407.0,399.0,81.2,Success,,0,0,122.6
M000810,1974-12-14,1974,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,L2 Halo,278,1,15.9,447.0,385.0,28.9,Success,,0,0,157.5
M000811,1974-09-30,1974,1970s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Vandenberg SLC-4,USA,34.74,-120.57,Human Spaceflight,Lunar Transfer,Lunar Orbit,7327,1,263.0,,,12.8,Success,90.0,6,0,136.5
M000812,1974-11-03,1974,1970s,China,Long March 2,CASC,43,8400,0,Active,Xichang Satellite Launch Center,China,28.25,102.03,Earth Observation,LEO,Earth Orbit,8400,1,330.0,429.0,337.0,86.3,Partial Failure,,0,0,78.2
M000813,1974-11-22,1974,1970s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,Rocket Lab LC-2,USA,37.85,-75.49,Military/Reconnaissance,GEO,GEO,1476,1,41.4,35786.0,35646.0,0.0,Success,,0,0,250.9
M000814,1974-12-11,1974,1970s,United States,Titan II,USAF,31,3175,0,Retired,Cape Canaveral LC-39A,USA,28.61,-80.6,Navigation/GPS,LEO,MEO,2667,1,158.9,410.0,352.0,38.5,Success,,0,0,51.8
M000815,1974-03-07,1974,1970s,United States,Saturn V,NASA,111,140000,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Science/Astronomy,LEO,L2 Halo,13296,1,472.6,394.0,376.0,39.8,Success,,0,0,185.0
M000816,1974-06-23,1974,1970s,United States,Electron,Rocket Lab,18,300,1,Active,Kennedy Space Center LC-39B,USA,28.62,-80.62,Science/Astronomy,LEO,L2 Halo,300,1,12.6,551.0,277.0,94.3,Success,,0,0,8.5
M000817,1974-12-11,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,Earth Orbit,1169,1,51.2,559.0,335.0,34.4,Success,,0,0,147.6
M000818,1974-08-21,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,GEO,GEO,552,1,15.3,35786.0,35732.0,0.0,Success,,0,0,189.6
M000819,1974-11-21,1974,1970s,United States,New Glenn,Blue Origin,98,45000,1,Active,Cape Canaveral LC-39A,USA,28.61,-80.6,Earth Observation,LEO,Earth Orbit,896,1,41.1,379.0,292.0,71.6,Success,,0,0,90.9
M000820,1974-06-25,1974,1970s,United States,Electron,Rocket Lab,18,300,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Navigation/GPS,LEO,MEO,300,1,14.8,415.0,335.0,31.8,Success,,0,0,7.9
M000821,1974-11-09,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Communications/Telecom,GEO,GEO,538,2,21.2,35786.0,35615.0,0.0,Success,,0,0,127.7
M000822,1974-10-26,1974,1970s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,Cape Canaveral LC-39A,USA,28.61,-80.6,Weather/Meteorology,SSO,SSO,874,1,32.2,606.0,596.0,97.0,Success,,0,0,234.7
M000823,1974-11-03,1974,1970s,United States,Starship,SpaceX,120,150000,1,Active,Rocket Lab LC-2,USA,37.85,-75.49,Earth Observation,LEO,Earth Orbit,3528,1,89.1,580.0,211.0,36.1,Success,,0,0,39.8
M000824,1974-03-11,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Earth Observation,LEO,Earth Orbit,5410,1,279.4,595.0,229.0,88.0,Success,,0,0,169.5
M000825,1974-06-20,1974,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,GEO,GEO,4730,1,250.9,35786.0,35707.0,0.0,Success,,0,0,63.7
M000826,1974-10-31,1974,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,500,1,26.1,615.0,596.0,98.2,Success,,0,0,133.1
M000827,1974-10-13,1974,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,LEO,LEO,4730,1,207.9,369.0,354.0,91.9,Success,30.0,3,0,83.4
M000828,1974-04-20,1974,1970s,United States,Saturn V,NASA,111,140000,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Navigation/GPS,LEO,MEO,652,1,16.4,593.0,510.0,29.2,Success,,0,0,185.0
M000829,1974-11-02,1974,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Navigation/GPS,LEO,MEO,500,1,14.5,432.0,214.0,59.1,Success,,0,0,158.3
M000830,1974-06-15,1974,1970s,Europe,Vega-C,Arianespace,35,2300,0,Active,Guiana Space Centre ELA-3,French Guiana,5.24,-52.77,Military/Reconnaissance,SSO,SSO,501,1,25.9,698.0,695.0,98.4,Success,,0,0,195.2
M000831,1974-03-14,1974,1970s,United States,Titan II,USAF,31,3175,0,Retired,Vandenberg SLC-4,USA,34.74,-120.57,Communications/Telecom,GEO,GEO,607,1,18.9,35786.0,35766.0,0.0,Success,,0,0,154.7
M000832,1974-04-03,1974,1970s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,GEO,GEO,1198,1,52.3,35786.0,35702.0,0.0,Success,,0,0,76.7
M000833,1974-09-04,1974,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,L2 Halo,4680,1,258.1,645.0,343.0,71.7,Success,,0,0,64.0
M000834,1974-10-25,1974,1970s,United States,Saturn V,NASA,111,140000,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Military/Reconnaissance,LEO,LEO,821,1,38.9,442.0,288.0,92.6,Success,,0,0,185.0
M000835,1974-02-21,1974,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,SSO,SSO,500,2,28.6,582.0,556.0,97.9,Success,,0,0,116.2
M000836,1974-01-19,1974,1970s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Communications/Telecom,GEO,GEO,988,1,45.4,35786.0,35760.0,0.0,Success,,0,0,102.7
M000837,1974-10-07,1974,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Communications/Telecom,GEO,GEO,500,1,23.2,35786.0,35720.0,0.0,Mission Failure,,0,0,59.6
M000838,1974-02-16,1974,1970s,United States,Atlas V,ULA,59,18850,0,Retired,Rocket Lab LC-2,USA,37.85,-75.49,Weather/Meteorology,LEO,LEO,10197,1,377.1,562.0,259.0,33.8,Success,,0,0,246.3
M000839,1974-08-18,1974,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,GEO,GEO,500,1,16.1,35786.0,35789.0,0.0,Success,,0,0,160.2
M000840,1974-05-10,1974,1970s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Navigation/GPS,LEO,MEO,7783,1,324.7,587.0,435.0,36.1,Success,,0,0,52.2
M000841,1974-11-14,1974,1970s,United States,Starship,SpaceX,120,150000,1,Active,Vandenberg SLC-4,USA,34.74,-120.57,Military/Reconnaissance,SSO,SSO,6533,1,268.7,691.0,673.0,97.4,Success,,0,0,63.0
M000842,1974-04-26,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Navigation/GPS,LEO,MEO,2028,1,87.6,511.0,416.0,69.8,Success,,0,0,59.4
M000843,1974-03-08,1974,1970s,United States,Starship,SpaceX,120,150000,1,Active,Rocket Lab LC-2,USA,37.85,-75.49,Earth Observation,LEO,Earth Orbit,2868,1,129.4,353.0,271.0,80.9,Success,,0,0,71.2
M000844,1974-11-28,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,LEO,LEO,5698,1,187.2,468.0,266.0,64.6,Success,,0,0,174.1
M000845,1974-09-23,1974,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,HEO,500,1,17.6,586.0,280.0,61.8,Success,,0,0,102.3
M000846,1974-07-17,1974,1970s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Military/Reconnaissance,SSO,SSO,1183,1,53.0,457.0,453.0,97.0,Success,,0,0,85.4
M000847,1974-09-10,1974,1970s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,Kennedy Space Center LC-39B,USA,28.62,-80.62,Communications/Telecom,GEO,GEO,615,1,30.6,35786.0,35763.0,0.0,Success,,0,0,193.4
M000848,1974-12-12,1974,1970s,China,Long March 2,CASC,43,8400,0,Active,Wenchang Space Launch Center,China,19.61,110.95,Communications/Telecom,GEO,GEO,1222,1,69.5,35786.0,35608.0,0.0,Success,,0,0,161.8
M000849,1974-05-02,1974,1970s,United States,Starship,SpaceX,120,150000,1,Active,Vandenberg SLC-4,USA,34.74,-120.57,Science/Astronomy,LEO,HEO,369,2,22.1,410.0,209.0,31.6,Success,,0,0,44.1
M000850,1974-10-09,1974,1970s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,GEO,GEO,2779,1,141.9,35786.0,35715.0,0.0,Success,,0,0,172.6
M000851,1974-05-31,1974,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,LEO,LEO,4730,1,261.8,581.0,297.0,89.5,Success,90.0,2,0,95.8
M000852,1974-01-23,1974,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Communications/Telecom,GEO,GEO,2354,1,86.7,35786.0,35793.0,0.0,Success,,0,0,64.2
M000853,1974-09-11,1974,1970s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Human Spaceflight,Lunar Transfer,Lunar Orbit,7080,1,181.3,,,48.0,Mission Failure,90.0,1,0,89.4
M000854,1974-08-16,1974,1970s,United States,Titan II,USAF,31,3175,0,Retired,Vandenberg SLC-4,USA,34.74,-120.57,Military/Reconnaissance,GEO,GEO,3175,1,167.5,35786.0,35629.0,0.0,Success,,0,0,175.2
M000855,1974-05-24,1974,1970s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,Rocket Lab LC-2,USA,37.85,-75.49,Communications/Telecom,GEO,GEO,5734,1,330.3,35786.0,35789.0,0.0,Success,,0,0,134.0
M000856,1974-01-13,1974,1970s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,GEO,GEO,681,1,27.8,35786.0,35676.0,0.0,Success,,0,0,199.4
M000857,1974-06-30,1974,1970s,United States,Atlas V,ULA,59,18850,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Navigation/GPS,LEO,MEO,2842,1,127.6,623.0,421.0,58.8,Success,,0,0,262.4
M000858,1974-08-16,1974,1970s,United States,Neutron,Rocket Lab,40,13000,1,Active,Cape Canaveral LC-39A,USA,28.61,-80.6,Military/Reconnaissance,GEO,GEO,1369,1,40.0,35786.0,35744.0,0.0,Success,,0,0,116.8
M000859,1974-06-24,1974,1970s,United States,Starship,SpaceX,120,150000,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Military/Reconnaissance,LEO,LEO,4485,1,194.6,396.0,244.0,78.0,Success,,0,0,22.8
M000860,1975-06-19,1975,1970s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,GEO,GEO,500,1,13.6,35786.0,35788.0,0.0,Success,,0,0,56.1
M000861,1975-04-08,1975,1970s,United States,Starship,SpaceX,120,150000,1,Active,Kennedy Space Center LC-39B,USA,28.62,-80.62,Earth Observation,LEO,Earth Orbit,466,1,16.5,606.0,567.0,92.9,Success,,0,0,39.0
M000862,1975-02-22,1975,1970s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,193,2,9.3,483.0,297.0,61.3,Success,,0,0,153.3
M000863,1975-04-14,1975,1970s,United States,Falcon 9,SpaceX,70,22800,1,Active,Rocket Lab LC-2,USA,37.85,-75.49,Navigation/GPS,LEO,MEO,4202,2,240.0,352.0,311.0,96.9,Success,,0,0,66.3
M000864,1975-03-08,1975,1970s,United States,Titan II,USAF,31,3175,0,Retired,Kennedy Space Center LC-39B,USA,28.62,-80.62,Science/Astronomy,LEO,HEO,3175,1,103.7,597.0,459.0,51.9,Success,,0,0,199.4
M000865,1975-03-03,1975,1970s,United States,Space Shuttle,NASA,56,27500,1,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Earth Observation,LEO,Earth Orbit,3331,2,99.1,399.0,222.0,66.0,Success,,0,0,148.6
